no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
176,4.7,0,2.5,5.2,30,2.4,5.9,10,2.4,5.9,0,40,3,2.19,5.76,3.01,30,3,5.7,2.7,8,2.7,40,2.25,5.84,0,2.25,5.84,40,3.5,1,48.62
177,4.7,0,2.5,5.2,30,2.4,5.9,10,2.4,5.9,0,40,3,2.19,5.76,3.01,30,3,5.7,2.7,8,2.65,40,2.3,5.89,0,2.3,5.89,40,3.5,1,30.7
178,4.7,0,2.5,5.2,30,2.4,5.9,10,2.4,5.9,0,40,3,2.19,5.76,3.01,30,3,5.7,2.7,8,2.62,40,2.36,5.95,0,2.36,5.95,40,3.5,1,10.78
179,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.86,5.2,2.89,30,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,20.1
180,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.93,5.34,2.88,30,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,17.6
181,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.04,5.47,2.88,30,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,14
182,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.61,5.63,2.68,45,3,5.7,2.7,12,2.6,35,2.8,6.2,0,2.8,6.2,35,2.2,1,20.1
183,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.33,5.58,2.68,45,3,5.7,2.7,12,2.6,35,2.8,6.2,0,2.8,6.2,35,2.2,1,17.6
184,5.3,3,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,2,5.2,2.71,20,3.1,6.1,2.72,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,8
185,5.3,3,2.5,5.2,70,2.5,5.2,0,2.5,5.2,0,70,2.3,2,5.2,2.71,20,3.1,6.1,2.72,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,9
186,5.3,3,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,2,5.2,2.71,20,3.1,6.1,2.72,10,2.5,35,3,6.5,0,3,6.5,35,3.5,1,7
187,,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.9,2.5,6.8,3.36,30,2.96,5.72,2.69,10,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,38.1
188,,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.9,2.5,6.8,3.36,30,3.02,5.75,2.67,10,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,33.3
189,,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.9,2.5,6.8,3.36,30,3.02,5.8,2.75,10,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,21.2
190,5.2,40,2.4,5.7,10,2.4,5.7,0,2.4,5.7,0,10,2.82,2.46,5.57,2.78,35,3,5.7,2.7,10,2.75,30,2.73,6.68,0,2.73,6.68,30,2.2,1,26
191,5.2,40,2.4,5.7,10,2.4,5.7,0,2.4,5.7,0,10,2.82,2.53,5.56,2.81,35,3,5.7,2.7,10,2.75,30,2.73,6.68,0,2.73,6.68,30,2.2,1,25
192,4.7,0,2,5.5,75,2,5.5,0,2,5.5,0,0,2.87,2.11,5.61,2.92,15,3,5.7,2.7,3,2.6,,2.73,6.68,0,2.73,6.68,40,3.5,1,39.1
193,4.7,0,2,5.5,75,2,5.5,0,2,5.5,0,0,2.87,2.09,5.6,2.93,25,3,5.7,2.7,3,2.6,,2.73,6.68,0,2.73,6.68,40,3.5,1,36.2
194,4.7,0,2,5.5,75,2,5.5,0,2,5.5,0,0,2.87,2.09,5.6,2.93,25,3,5.7,2.7,3,2.6,,2.73,6.68,0,2.73,6.68,40,3.5,1,51.8
